comment,brand,title
Mock neck,shein,SHEIN SHOPS HAUL | MY FAVE CO-ORDS AND COSY KNITWEAR | AD
Funnel neck,shein,SHEIN SHOPS HAUL | MY FAVE CO-ORDS AND COSY KNITWEAR | AD
A longer style puffer vest would be nice with that last set and your uggs,shein,SHEIN SHOPS HAUL | MY FAVE CO-ORDS AND COSY KNITWEAR | AD
People don't realize it. But this is one of the greatest albums of this generation. This is one of the greatest albums of the past 17 years. Frank is a true artist and he can speak to all levels of society. I hope frank gives us another album some day soon. Thank you Mr.Ocean.,nike,Frank Ocean - Nikes
"I feel like the album is titled blonde because blonde hair is often bright when one is young, but it begins to darken as they age. I feel like this is used to discuss how we lose our freedom with age. After the nights beat switch, the album takes a darker tone. In the first half of the album (before nights) frank uses high-pitched vocals to represent his younger self. he also mentions the word summer several times in this album which usually represent youth and freedom. In the second half of the album (after the nights beat switch) he only references summer once when Andre 3000 says he is “watching the summer come close to an end” which sounds like a representation of the end of his childhood.",nike,Frank Ocean - Nikes
"Sometimes when the boys are gone you turn off the trap and listen to this, man i love this song",nike,Frank Ocean - Nikes
I would never cry to a Frank Ocean song,nike,Frank Ocean - Nikes
So sad to hear about Frank Ocean’s younger brother. May he rest in eternal peace.,nike,Frank Ocean - Nikes
Love how he uses the high pitched voice to start the album. Up until this point it had been 4 years since we had heard from Frank so that was a good tease to start things off. Once it leads into his real voice it’s almost like an explosion,nike,Frank Ocean - Nikes
this album makes me feel something i can not explain. its a sad euphoric feeling. comforting but wishing things you dont have.,nike,Frank Ocean - Nikes
There's so many beautiful lyrics in this.  Painfully beautiful.,nike,Frank Ocean - Nikes
This entire album is so fucking good!,nike,Frank Ocean - Nikes
"He don't care for me
But he cares for me

damn I hate this feeling",nike,Frank Ocean - Nikes
"I'll never forget when I first heard this. Freshman year of college, pregaming for my first party, everyone was just chilling and singing along it was so good. This is my go to song for late night drives on the thruway with the windows down",nike,Frank Ocean - Nikes
love the ambient textures of this album,nike,Frank Ocean - Nikes
“I’m not him but i’ll mean something to you.”  This just hits wayy harder after you’ve been rejected by the person you like.,nike,Frank Ocean - Nikes
"2011: Tyler dropped Goblin
2012: Frank dropped channel ORANGE
2013: Earl dropped Doris

2015: Earl dropped IDLSIDGO
2016: Frank dropped Blonde
2017: Tyler dropped Flower Boy

2018: Earl dropped Some Rap Songs
2019: Tyler dropped IGOR
2020: Frank?",nike,Frank Ocean - Nikes
the first song that made me like the whole album last year,nike,Frank Ocean - Nikes
"Im 20, this dropped when I was 12, I still remember all the girls I dedicated these songs to lmao. Miss you Frank but wishing you a lifetime of healing",nike,Frank Ocean - Nikes
"First time listening to frank ocean’s albums, wish me luck",nike,Frank Ocean - Nikes
Song was so good they made a brand named after it,nike,Frank Ocean - Nikes
this song makes me feel nostalgia for things i haven't experienced,nike,Frank Ocean - Nikes
"This song sounds like new to me - the start of summer, the start of a new love, the start of nothing, so to speak. It has a somber, nostalgic tone to it - you can tell this is a song about looking back, not about living. Through the album, the new feeling (especially in the context of 4 years waiting for an album) tells the beginning, middle, and end of a time in your life. That's what makes it so relatable - we all have our lived experience, which we link intrinsically with the first half of Blonde, and the second half grounds us to our lives now. It's one of the realest, most evocative albums ever",nike,Frank Ocean - Nikes
"I’m a big fan of what Asics, New Balance, and Adidas have been doing lately. Jordan and Nike tho, I’m just so burnt out. I got into sneakers around 2022 and I think I picked a good time back then. If I had hopped on now, it would’ve been the worst time with the tariffs, the price increases, and the overall fatigue of Nike and Jordan in sneaker culture. Everyone has nike and/or jordans. They aren’t special anymore, most of them are rereleases or just shoes without a story. Just more colorways of the same shoes everyone already has.

With New Balance, I love the collabs they do. Especially with stuff like amine or action bronson. They always have creative designs and backstories to accompany the shoe. Also the quality control with other companies is significantly better lately.",nike,TOP 10 BEST SNEAKERS OF 2025
"Be honest: Is this supposed to be a ""Top 10 Best Sneakers of 2025"" or a ""Top 10 Best Jordans of 2025"" ?",nike,TOP 10 BEST SNEAKERS OF 2025
Man's forgot the 992 freshgood's,nike,TOP 10 BEST SNEAKERS OF 2025
This list is giving 'the sneakerhead in me' vibes fr,nike,TOP 10 BEST SNEAKERS OF 2025
Ngl the bricks are bricks overrated Imo,nike,TOP 10 BEST SNEAKERS OF 2025
"Great list! The New Balance 933 are my sneaker of the year. Under the radar, but such an incredible new model, and the last batch of colorways definitely are the winners.",nike,TOP 10 BEST SNEAKERS OF 2025
"Coming in with a crazy one, but my favorite (i picked up) is the Air Jordan 3 rare air, been loving them",nike,TOP 10 BEST SNEAKERS OF 2025
the year is not even over,nike,TOP 10 BEST SNEAKERS OF 2025
"The AJ1 UNC Reimagined are sooo underrated bc they bricked at launch. Their blue tint is just stunning irl, they deserved at least a honorable mention🥲",nike,TOP 10 BEST SNEAKERS OF 2025
"1. Mars Yard 3.0
2. Brick by Brick 4's
3. Undefeated 4's

Got all 3 and loving them.",nike,TOP 10 BEST SNEAKERS OF 2025
"It's between Jordan 4 brick by brick or Jordan 4 Sb navy , Im gonna give the edge to the Bricks because they pop more and the story is so cool.",nike,TOP 10 BEST SNEAKERS OF 2025
My best shoe of the year has to be the Nike Pegasus Premium. I LOVE that shoe!,nike,TOP 10 BEST SNEAKERS OF 2025
solid list! my sneaker of the year has to be the undefeated 4s. it was the shoe that inspired me to begin collecting sneakers and chasing grails. being able to add them into my collection this year was the best feeling ever!,nike,TOP 10 BEST SNEAKERS OF 2025
You know there are other brands out there besides nike and adidas who produce nice shoes. Doesnt have to be the same brands all the time,nike,TOP 10 BEST SNEAKERS OF 2025
"Brick by brick is numero uno! Followed by Union J1's and Undefeated, my rankings. I just managed to cop 2 pairs from the list!",nike,TOP 10 BEST SNEAKERS OF 2025
Jordan 4 SB navy blue,nike,TOP 10 BEST SNEAKERS OF 2025
Really good list I found it really hard this year. There were so many drops. I can’t remember them all.😅,nike,TOP 10 BEST SNEAKERS OF 2025
definitivamente BRICK BY BRICK los mejores. 😢,nike,TOP 10 BEST SNEAKERS OF 2025
Love your vids,nike,TOP 10 BEST SNEAKERS OF 2025
Bro is secretly a Casey Jones!,nike,TOP 10 BEST SNEAKERS OF 2025
"Have you heard of SHEIN, or have you shopped there yourself?",shein,"If you think fast fashion is bad, check out SHEIN"
"I'm guilty of being a SHEIN consumer. I started a few years back when they were not well known. I was shocked by the low prices and fast delivery. I loved it, absolutely loved the possibility to have a new outfit every week. In the last 1 month I stumbled upon a few youtube documentaries on fast fashion and SHEIN in particular. After the first documentary I withdraw all the money off my SHEIN wallet and deleted the app. Honestly... it's a bit addicting. I used to scroll the new clothes before going to bed. Kinda miss that but I'm okay with putting an end to it.",shein,"If you think fast fashion is bad, check out SHEIN"
"I absolutely agree to the conclusions drawn here: With every purchase we make a decision that impacts on nature and society. I'd rather buy less clothes, but of good quality so that I can wear them for years.",shein,"If you think fast fashion is bad, check out SHEIN"
"Zara, H&M and Uniqlo are considered fast fashion, yet here in my country it’s still considered to be quite expensive. Although definitely not a high-end product, it’s mid to upper level for sure.",shein,"If you think fast fashion is bad, check out SHEIN"
"As a designer (of mostly crochet tops and sweaters) it pains me to see that SHEIN steals the designs of other small shops/creators like myself. So far I haven't been hit but many of my friends have. We work so hard on these designs, only to have them get stolen and sold for $7.",shein,"If you think fast fashion is bad, check out SHEIN"
"For me, the question is: how can we help young people to accept themselves and be resistant to this toxic consumerist manipulation?",shein,"If you think fast fashion is bad, check out SHEIN"
